,title,author,date,text,url,news source,political affiliation
0,Biden knocks Trump before surveying Puerto Rico hurricane damage,Steven Nelson,2022-10-03,"President Biden jabbed at his predecessor, Donald Trump, Monday before heading to Puerto Rico to examine damage caused by Hurricane Fiona last month — telling reporters the island was not “taken very good care of” following Hurricane Maria in 2017. “I’m heading to Puerto Rico because they haven’t been taken very good care of,” Biden said as he left the White House, with more than 100,000 homes in the US territory still without power two weeks after Fiona struck as a Category 1 storm. “They’ve been trying like hell to catch up from the last hurricane,” the president added. “I want to see the state of affairs today and make sure we push everything we can.” Hurricane Maria hit Puerto Rico with devastating Category 4 winds eight months after Trump took office. His subsequent visit was best remembered for the former reality TV host throwing rolls of paper towels into a crowd of locals as if they were souvenirs. The post-Maria recovery was marred by alleged corruption and inefficiency, including by the Puerto Rico Electric Power Authority and the Federal Emergency Management Agency. More than 10 million water bottles provided by FEMA to the territorial government were left unused on an airport tarmac and PREPA awarded a $300 million no-bid contract to rebuild the island’s electric grid to a small Montana company linked to Interior Secretary Ryan Zinke. The contract was canceled amid scrutiny. A former FEMA official pleaded guilty this year to accepting bribes from a different electric company that was given $1.8 billion in contracts to rebuild infrastructure. Yet another electric company, LUMA Energy, which is co-owned by Houston-based and Canadian firms, took over Puerto Rico’s electrical grid last year. But the contract outraged critics because it was negotiated secretly and followed by blackouts. “LUMA can go to hell,”  reggaeton star Bad Bunny said in July, supporting critics of the latest electric deal. “The country belongs to us. We are the ones who have the control.” FEMA administrator Deanne Criswell was asked Monday by a reporter about Biden’s criticism of Trump as she traveled aboard Air Force One to Puerto Rico. “We know that there may have been some issues in the previous administration,” Criswell said. “We are laser focused on giving them the support they need. That’s what my job is. That’s what the president has directed me to do.” Trump defended his performance and blamed local officials including then-Gov. Ricardo Rosselló, who had said of Trump, “If the bully gets close, I’ll punch the bully in the mouth.”  “Puerto Rico has been taken care of better by Donald Trump than by any living human being and I think the people of Puerto Rico understand it,” Trump said in 2019. “You have the mayor of San Juan [Carmen Yulín Cruz] that, frankly, doesn’t know what she’s doing and the governor, they have to spend the money wisely. They don’t know how to spend the money and they’re not spending it wisely.” Trump’s administration outraged congressional Democrats by slowly dispersing $43 billion in appropriated Hurricane Maria recovery aid — doling out just one-third of the sum in two years, in part due to new anti-corruption oversight restrictions. “Why is Puerto Rico always subjected to different standards when it comes to this [Trump] administration?” Rep. Nydia Velázquez (D-NY) objected at the time. Alleged corruption on the island has plagued local politicians affiliated with both the Democratic and Republican parties. Former Gov. Wanda Vazquez Garced, a Republican in office from 2019-2021, was arrested last year by the FBI for allegedly accepting a banker’s bribe in exchange for demanding the resignation of the island’s commissioner of financial institutions. Her predecessor Rosselló, a Democrat, left office in 2019 amid protests over the revelation of group messages on the platform Telegram that included insults about public figures and insider information shared with lobbyists. The Rosselló administration’s education minister and health insurance administrator were busted by the FBI in 2019 for alleged corruption including theft of government funds. Socialist Sen. Bernie Sanders of Vermont has laid blame for Puerto Rico’s slow post-Maria recovery partially on poor local leadership. “I stand with the people of Puerto Rico in their fight against corruption and join them in calling for the immediate resignation of Governor Rosselló,” Sanders tweeted in 2019. “Puerto Rico deserves a governor who is accountable, transparent, and capable of leading the island to recovery after Hurricane Maria, which was almost two years ago. The federal government must provide full support in this effort.” In addition to issues with corruption, HBO host John Oliver, whose program is popular among young adults and Democrats, and Puerto Rican-American “Hamilton” creator Lin-Manuel Miranda, focused in a 2015 episode on the fact that the territory saddled itself with debt by raising money through bond sales and then was restricted from restructuring that debt by federal law. Congress passed a law in 2016 allowing for a debt restructuring board, which slashed the island’s $70 billion debt nearly in half. ",https://nypost.com/2022/10/03/biden-knocks-trump-en-route-to-tour-puerto-rico-hurricane-damage/,New York Post,Conservative
0,"President Biden to visit Puerto Rico, announce $60M plan to help territory recover from Hurricane Fiona",Andrea Vacchiano   ,2022-10-03,"President Biden will travel to Puerto Rico on Monday, where he will announce a massive spending plan to help the island recover from Hurricane Fiona.The president is expected to outline his $60 million plan to help Puerto Rico rebuild after being ravaged by Hurricane Fiona weeks ago. The funding comes from Biden's Bipartisan Infrastructure Law. The funds will be used to strengthen flood walls, repair levees and create a flood warning system.First lady Jill Biden and FEMA Administrator Deanne Criswell will also join President Biden on the trip. According to a White House official, the Bidens will meet with impacted families, participate in a community service project and thank officials who are working to help damaged areas of Puerto Rico recover.While touting the White House's measures to assist Puerto Rico, an official said that the Biden administration removed ""onerous restrictions"" from the Trump administration that made it difficult for Puerto Rico to access relief funds.""The Biden-Harris Administration also removed onerous restrictions put in place by the last Administration restricting Puerto Rico’s ability to access nearly $5 billion in additional funds, including for critical recovery and reconstruction needs,"" the official said.Hurricane Fiona made landfall on Sept. 18, causing an island-wide power outage. Throughout Hurricane Fiona, Puerto Rico experienced multiple blackouts, flooding and extensive damage. At one point, over 1 million people in Puerto Rico had no electricity or gas days after the storm. The Ponce region was hit particularly hard by the storm, where thousands of residents still have no power, according to the Puerto Rican government.Puerto Rico has devastated by natural disasters in recent years, especially from Hurricane Maria in 2017. One reason why is because of the island's poor infrastructure for handling storms, which the White House hopes to solve.Despite federal relief efforts, the Puerto Rican government reportedly struggles to pay its debts to contractors. An Oklahoma-based energy company says that the Puerto Rican government still owes them $365 million for restoring the island's devastated power grid after Hurricane Maria in 2017. The now-defunct Puerto Rico Electric and Power Authority (PREPA) has reportedly not settled the issue with Mammoth Energy.After his trip to Puerto Rico, President Biden plans to visit Florida on Wednesday to witness damage and recovery efforts from Hurricane Ian.",https://www.foxnews.com/us/president-biden-visit-puerto-rico-announce-60m-plan-help-territory-recover-hurricane-fiona,Fox,Conservative
1,"Biden, first lady to visit Florida and Puerto Rico to survey storm damage this week",Mark Moore,2022-10-02,"President Biden and first lady Jill Biden will travel to Puerto Rico and Florida this week to survey damage from the two recent hurricanes, the White House announced late Saturday. ​​ The Bidens are planning to head to Puerto Rico on Monday, two weeks after Hurricane Fiona slammed into the island as a category 1 storm and where many of the residents still face widespread power outages and water shortages. ​ Then, the president and first lady will head to Florida on Wednesday. ​​Rescue efforts are underway ​in the Sunshine State in the aftermath of Hurricane Ian that hit the Gulf Coast last week as a category 4 storm, packing sustained winds of up to 150 mph. Ian caused catastrophic damage across a large swath of Florida and killed scores before exiting into the Atlantic and then heading up the coast before making landfall again in South Carolina as a downgraded post-tropical storm. The White House said additional details about the visit would be released later. But the president, speaking at a Congressional Black Caucus awards dinner on Saturday, addressed the damage caused by Fiona and Ian. “Our hearts … are heavy, the devastating hurricanes, storms in Puerto Rico, Florida, and South Carolina. And we owe Puerto Rico a hell of a lot more than they’ve already gotten,” he said. ",https://nypost.com/2022/10/02/bidens-to-visit-florida-puerto-rico-to-see-hurricane-damage/,New York Post,Conservative
2,"Andrew Cuomo returns to public eye, joins Puerto Rico aid effort in Bronx","Georgia Worrell, Rich Calder",2022-10-01,"Ex-Gov. Andrew Cuomo made his first public appearance Saturday since recently announcing his return to public life, showing up in the Bronx to join a relief effort for Puerto Rico in the wake of Hurricane Fiona. “I want to say to the people of Puerto Rico that the people of New York State are with you always, on good days and bad days; we have your back because we are family,” crowed Cuomo, sounding like he was still in office. “Whatever Puerto Rico needs, New York is going to be here to help you.” Cuomo, who resigned under fire more than a year ago amid a sexual harassment scandal, was joined by clergy leaders, community leaders, former Bronx Borough President Ruben Diaz Jr. and ex-Councilman Ruben Diaz Sr. He spent about an hour along Southern Boulevard in Hunts Point helping load a truck with food and supplies that will be sent to the island often called New York City’s “sixth borough.” Cuomo showed up in response to a tweet Diaz Sr. posted last week asking for help with “humanitarian” efforts for Puerto Rico’s flood victims. The ex-governor on Saturday also donated $2,500 to help the former councilman to buy a van to send to Puerto Rico to assist with the relief efforts. Cuomo has remained allies with Diaz Sr. even though the ex-councilman and pastor has a long history of irritating other fellow Democrats by making controversial remarks about the gay community. Cuomo didn’t directly address his own future. However, when asked later if Cuomo is eying a return to public office, his spokesman Rich Azzopardi cryptically said:  “Who knows what the future holds? But the governor made his immediate plans known to the public last week. “Today was all about Puerto Rico and helping our fellow Americans.” Azzopardi was referring to an eight-minute video  the three-term Democratic governor released Wednesday. In it, Cuomo said he plans to start a political action committee “to elect the right people to politics” — without naming names. He also said he plans to start a gun-control group and his own weekly podcast. ",https://nypost.com/2022/10/01/andrew-cuomo-returns-to-public-eye-by-joining-bronx-effort-to-aid-puerto-rico/,New York Post,Conservative
3,Mayor Adams flies to Puerto Rico to help hurricane-hit isle,David Meyer,2022-09-25,"There’s no rest for the weary. Mayor Eric Adams left a political storm at home over everything from border migrants to rising crime to spend his Sunday helping what he calls New York’s “sixth borough,” hurricane-ravaged Puerto Rico. Adams traveled to the island late Saturday night for what he framed as a fact-finding mission to see how New York City can best help the island recover from Hurricane Fiona. “Puerto Rico is our sixth borough of New York. We’re tied at the hip,” Hizzoner said during in a video shot Sunday morning alongside San Juan Mayor Miguel Romero. “We’re going to… identify exactly what’s needed,” the mayor said. “We want to pinpoint what the needs are.” Romero replied that his city needs electricity to provide its citizens with water. The two mayors appeared in the clip alongside US Rep. Adriano Espaillat (D-Manhattan/Bronx), Queens Borough President Donovan Richards, several New York City Council members and city Transportation Commissioner Ydanis Rodriguez. Adams, who announced his trip last week, said in a video posted from the plane that he was headed to the island “to help our brothers and sister on the ground” — as his administration back home faces persistent crime, a massive migrant crisis and a hefty challenge to its vaccine mandate for city employees. In addition to meeting Romero, Adams’ schedule Sunday also was set to include meetings with Puerto Rico Gov. Pedro Pierluisi, the regional administrator for the Federal Emergency Management Agency and the president of the Dominican Republic. Adams — whose meetings Sunday were closed to the media — has not taken questions from reporters, outside of TV and radio interviews, since announcing plans to build tent encampments to house immigrant asylum seekers as the months-long influx from the southern border has overwhelmed city shelters. He faced another significant blow Friday when a state supreme court judge ordered NYPD members who refused their COVID-19 vaccination to be reinstated. Any vaccination requirement must be negotiated as part of officers’ collective bargaining agreement, Judge Lyle Frank ruled. ",https://nypost.com/2022/09/25/mayor-adams-flees-crisis-ravaged-nyc-to-help-puerto-rico/,New York Post,Conservative
1,Puerto Rico still owes company $350 million for restoring grid in 2017 as it faces fresh hurricane outages,Thomas Catenacci   ,2022-09-23,"An Oklahoma-based energy company has repeated calls for the Puerto Rican government to complete a payment for work it did restoring the island's power grid years ago.Mammoth Energy said the Puerto Rico Electric and Power Authority (PREPA), the now-defunct government agency that previously oversaw the territory's power grid and transmission infrastructure, still owes about $365 million for a contract the company was awarded in 2017. PREPA awarded the company's subsidiary, Cobra Acquisitions, contracts worth $1.6 billion to restore Puerto Rico's decimated grid following Hurricane Maria.The company, which has worked on 17 other natural disaster clean up projects, was ultimately owed a total of $1.3 billion after completing its work and departing earlier than expected in 2019. When Cobra workers left the island, PREPA still owed $224 million, an amount which has swelled to more than $360 million when factoring in interest.""We treated it almost like a military action which it was,"" Mammoth Energy CEO Arty Straehla told Fox News Digital in an interview. ""At one point, we had 1,000 people on the island that were working to restore electricity because the devastation was so bad. When we got down there, 100% of the island was down."" ""It was one of the most devastating things that I've seen,"" he continued.Hurricane Maria struck Puerto Rico and surrounding islands in mid-September 2017, severely devastating the island's power grid, medical services and utilities like running water. While the hurricane initially killed dozens of Puerto Ricans, a Harvard University study estimated that in its aftermath, it caused another 4,645 deaths. The National Centers for Environmental Information reported that the storm caused $107.1 billion in damage, making it the third-costliest U.S. storm on record. The Bipartisan Budget Act, which former President Trump signed into law in February 2018, provided $2 billion to restore Puerto Rico's grid and nearly $90 billion in total for disaster relief after a series of storms, including Hurricane Maria.Less than a month after Cobra signed the contract with PREPA in October 2017, the company sent multiple barges full of equipment and hundreds of workers to Puerto Rico to fix the grid.""We went down, went through all the adversity,"" Straehla said. ""We ended up taking our own lodging down there because we didn't want to take away from the resources of the island. So, we took barges down there where our men could be housed offshore."" ""They'd go out and work 16-hour days and then come back.""Cobra completed its work and departed Puerto Rico in March 2019, according to Straehla. He said the company had successfully executed its job, restoring the island's electricity, and was lauded by the Federal Emergency Management Agency (FEMA).The RAND Corporation, a research and analysis firm, issued a report for FEMA after the company completed its work, saying the contract was fairly priced. The report did not analyze whether Cobra properly implemented the contract.""Cobra's billable rates to PREPA fall within those representative ranges and are therefore reasonable for the emergency repair work performed by Cobra,"" the report concluded.Straehla, though, said that PREPA, which was provided taxpayer funds via FEMA, has been in violation of its contract since his firm completed its work.He added the agency filed for bankruptcy shortly after Hurricane Maria, and Mammoth Energy has been involved in those court proceedings. PREPA's assets were sold to private sector firm LUMA Energy.However, Straehla said Mammoth Energy has been financially impacted by the alleged contract violation. The company has been forced to shed hundreds of workers as a result of the situation.""It had a tremendous impact on us — it certainly changed the trajectory of the company,"" he told Fox News Digital. ""We want to get paid, we want to reinvest, we want to build more jobs, and continue to grow this company.""""For a company our size, $365 million makes a dramatic difference in our trajectory.""In a statement, FEMA spokesperson Jeremy Edwards said the agency continues to fund emergency and permanent work in Puerto Rico related to Hurricane Maria. He also noted FEMA has awarded more than $11 billion in federal funding for these needs, adding that the Puerto Rican government is required to ensure certain requirements are met when issuing grants.""Prior to using FEMA funds, the Government of Puerto Rico and its subrecipients must ensure grant program requirements are met,"" Edwards told Fox News Digital. ""FEMA commends the Government of Puerto Rico’s development of strong accounting and fiscal management practices put in place since 2017 to ensure appropriate use of federal funds.""FEMA does not have the authority to force PREPA to complete payments to contractors and subcontractors.Straehla's pleas for PREPA to complete its payments to his firm come as Puerto Rico faces fresh devastation after Hurricane Fiona slammed into the island this week. The storm has killed eight people and left most of the island without power.LUMA Energy did not respond to a request for comment.Thomas Catenacci is a politics writer for Fox News Digital.",https://www.foxnews.com/politics/puerto-rico-owes-company-350-million-restoring-grid-2017-faces-fresh-hurricane-outages,Fox,Conservative
4,Biden says ‘we really are’ ready to help Puerto Rico in tweak of Reagan’s famous maxim,Steven Nelson,2022-09-22,"President Biden on Thursday proposed updating Ronald Reagan’s famously cynical view of government — telling New York leaders that authorities “really are” going to help the victims of Hurricane Fiona in Puerto Rico. “We’re surging federal resources to Puerto Rico,” Biden said at a briefing in Lower Manhattan. “And we’ll do everything, everything we can to meet the urgent needs you have and we know they’re real and they’re significant. And we’re there. And I know, bad joke, ‘I’m from the federal government and I’m here to help.’ But we really are.” New York Gov. Kathy Hochul and New York City Mayor Eric Adams attended the event at the Federal Emergency Management Agency’s office in One World Trade Center. Biden said Thursday he was ordering the federal government to reimburse 100% of Puerto Rico’s expenses for “debris removal, search and rescue, power and water restoration, and shelter and food for a month.” The president took no questions from reporters during the FEMA stop and didn’t answer a shouted inquiry about whether he plans to visit Puerto Rico. The storm made landfall Sunday as a category one hurricane and knocked out power to the entire island. Biden sought to demonstrate a hands-on approach to the hurricane aftermath after his predecessor Donald Trump faced criticism for the pace of humanitarian and rebuilding efforts after the much more powerful category four storm Hurricane Maria devastated Puerto Rico in 2017. Reagan made his famous pronouncement on government at a 1986 press conference while specifically addressing economic issues for farmers — rather than emergency response efforts. “I’ve always felt the nine most terrifying words in the English language are: ‘I’m from the government, and I’m here to help,'” Reagan said. “A great many of the current problems on the farm were caused by government-imposed embargoes and inflation, not to mention government’s long history of conflicting and haphazard policies.” ",https://nypost.com/2022/09/22/biden-says-we-really-are-ready-to-help-puerto-rico-in-tweak-of-reagan/,New York Post,Conservative
5,Parts of Puerto Rico stranded four days after Hurricane Fiona pummels island,Associated Press,2022-09-22,"CAGUAS, Puerto Rico — Hurricane Fiona left dozens of families stranded across Puerto Rico after smashing roads and bridges, with authorities still struggling to reach people four days after the storm smacked the U.S. territory, causing historic flooding. For now, government officials are working with religious groups, nonprofits and others braving landslides, thick mud and broken asphalt by foot to provide food, water and medicine for people in need, but they are under pressure to clear a path so vehicles can enter isolated areas soon. Nino Correa, commissioner for Puerto Rico’s emergency management agency, estimated that at least six municipalities across the island had areas that were cut off by Fiona, which struck as a Category 1 hurricane and was up to Category 4 power Wednesday as it headed toward Bermuda. Living in one of those areas is Manuel Veguilla, who has not been able to leave his neighborhood in the north mountain town of Caguas since Fiona swept in on Sunday. “We are all isolated,” he said, adding that he worries about elderly neighbors including his older brother who does not have the strength for the long walk it takes to reach the closest community. Veguilla heard that municipal officials might open a pathway Thursday, but he doubted that would happen because he said large rocks covered a nearby bridge and the 10-foot space beneath it. Neighbors have shared food and water dropped off by nonprofit groups, and the son of an elderly woman was able to bring back basic supplies by foot Wednesday, he said. Veguilla said that in the aftermath of Hurricane Maria, a Category 4 storm that struck five years ago and resulted in nearly 3,000 deaths, he and others used picks and shovels to clear the debris. But Fiona was different, unleashing huge landslides. “I cannot throw those rocks over my shoulder,” he said. Like hundreds of thousands of other Puerto Ricans after Fiona, Veguilla had no water or electricity service, but said they there is a natural water source nearby. Fiona sparked an islandwide blackout when it hit Puerto Rico’s southwest region, which already was still trying to recover from a series of strong earthquakes in recent years. Some 70% of 1.47 million customers were without power three days after the storm amid an extreme heat alert issued by the National Weather Service. Some 40% of customers, or more than half a million, did not have water service. The U.S. Federal Emergency Management Agency has sent hundreds of additional personnel to help local officials as the federal government approved a major disaster declaration and announced a public health emergency on the island. Neither local nor federal government officials had provided any damage estimates as Puerto Rico struggles to recover from the storm, which dropped up to 30 inches of rain in some areas. More than 1,000 people remained in shelters. “Our hearts go out to the people of Puerto Rico who have endured so much suffering over the last couple of years,” said Brad Kieserman, vice president of operations and logistics at the Red Cross. After Puerto Rico, Fiona pummeled the Dominican Republic and then swiped past the Turks and Caicos Islands as it strengthened into a Category 4 storm. Officials there reported relatively light damage and no deaths, though the eye of the storm passed close to Grand Turk, the small British territory’s capital island, on Tuesday. “God has been good to us and has kept us safe during this period when we could have had a far worse outcome,” Deputy Gov. Anya Williams said. Fiona was forecast to pass near Bermuda early Friday, and then hit easternmost Canada early Saturday, the U.S. National Hurricane Center said. The center said Fiona had maximum sustained winds of 130 mph late Wednesday. It was centered about 550 miles southwest of Bermuda, heading north at 10 mph. It was forecast to pass close by Bermuda early Friday. ",https://nypost.com/2022/09/22/parts-of-puerto-rico-inaccessible-days-after-hurricane-fiona/,New York Post,Conservative
3,Biden approves Puerto Rico disaster declaration after devastating Hurricane Fiona impact,Lawrence Richard   ,2022-09-22,"President Joe Biden has issued a disaster declaration for Puerto Rico as the island recovers from the devastating impact of Hurricane Fiona.The declaration orders federal aid to assist recovery efforts in the Commonwealth of Puerto Rico as hundreds of thousands of people remain without power, water or shelter. The funds also supplement local emergency services that are looking to provide temporary shelter for those displaced by the major storm.""Assistance can include grants for temporary housing and home repairs, low-cost loans to cover uninsured property losses, and other programs to help individuals and business owners recover from the effects of the disaster,"" Biden said in the declaration. Federal Emergency Management Agency (FEMA) Administrator Deanne Criswell named Thomas J. Fargione as the Federal Coordinating Officer to oversee federal recovery operations.The funds aim to help more than 50 municipalities in the U.S. territory.The president said federal funds have also been made available to local governments and some nonprofit organizations via a cost-sharing basis for hazard mitigation, debris removal and protective measures for all municipalities in the country. Fiona’s 125 mph winds and heavy rain initially left the entire island without power, though some has since been restored. ""Hurricane Fiona has severely impacted electrical infrastructure and generation facilities throughout the island,"" said Luma, the company that operates power transmission and distribution.The company added: ""We want to make it very clear that efforts to restore and reenergize continue and are being affected by severe flooding, impassable roads, downed trees, deteriorating equipment, and downed lines.""Fiona continues to travel north through the Atlantic Ocean, where it is projected to hit Bermuda and then Canada, mostly missing the United States, according to the National Hurricane Center. It has intensified to a Category 4 storm.Fox News' Landon Mion contributed to this report.",https://www.foxnews.com/us/biden-approves-puerto-rico-disaster-declaration-devastating-hurricane-fiona-impact,Fox,Conservative
2,Biden pledges aid for Puerto Rico in aftermath of Hurricane Fiona; 'We are not just going to walk away',Louis Casiano   ,2022-09-22,"President Biden on Thursday said he has an expedited major disaster declaration to provide relief to communities in Puerto Rico and authorized funding for recovery efforts days after Hurricane Fiona ravaged the island, causing nearly everyone to lose power. Speaking to Puerto Rican officials, Biden said the federal government will assist the island territory, which had not fully recovered from Hurricane Maria in 2017 when Fiona made landfall Sunday. Part of the declaration calls for full funding for one month for power and water restoration, debris removal, search-and-rescue efforts, and shelter and food, he said. He noted to Puerto Rican Gov. Pedro Pierluisi that ""we don't view this as some distant problem.""""We are with you,"" Biden said during a virtual briefing with Puerto Rican and FEMA (Federal Emergency Management Agency) officials and Democratic New York Gov. Kathy Hochul and New York Mayor Eric Adams. ""We are not just going to walk away.""New York and other northeastern states with large Puerto Rican populations have also pledged to send aid to the island. ""We call Puerto Rico our sixth borough, and as Hurricane Fiona leaves behind a path of destruction, our administration stands ready to provide all of the support and aid our brothers and sisters need,"" Adams tweeted Tuesday. As of Thursday, at least eight people were reported dead in the Caribbean as the island experienced torrential rain, mudslides and flooding. Fiona made landfall early this week leaving many without power. Power was returned to some but much of the island still lacks electricity. Puerto Rico had still not yet recovered from the devastating impact of 2017's Hurricane Maria when the most recent storm arrived. Nearly 3,000 people died on the island from the 2017 storm, officials said. The federal government's response in 2017 was heavily criticized despite President Trump touting the success of his administration's recovery efforts. Louis Casiano is a reporter for Fox News Digital. Story tips can be sent to louis.casiano@fox.com.",https://www.foxnews.com/politics/biden-pledges-puerto-rico-aid-aftermath-hurricane-fiona,Fox,Conservative
