title,author,date,text,url,news source,political affiliation
Judge approves plan to reduce Puerto Rico agency’s debt,No Author,10/12/22,"A federal judge on Wednesday approved a plan to restructure some $6 billion of debt held by Puerto Rico’s Highways and Transportation Authority as the U.S. territory emerges from bankruptcy. The plan cuts the agency’s debt by more than 80% and saves Puerto Rico more than $3 billion in debt service payments, according to Gov. Pedro Pierluisi and a federal control board that oversees the island’s finances. “The plan creates a solid financial foundation to ensure Puerto Rico’s roads and public transportation are maintained and improved,” the board said. It has previously noted that 13% of the island’s highways are in good condition, compared with a median of 84% in the U.S. mainland. Only one government agency on the island has yet to restructure its debt: Puerto Rico’s Electric Power Authority, which holds some $9 billion in debt, the largest of any public agency. Federal Judge Laura Taylor-Swain recently ordered a new round of mediation talks to resolve that debt after the previous talks failed. She also allowed the board to go to court to determine how much money bondholders seeking to recover their investments should receive. The debt restructurings come after Puerto Rico’s government announced in 2015 that it was unable to pay its more than $70 billion public debt load. In 2017, it filed for the biggest U.S. municipal bankruptcy in history.","https://apnews.com/article/business-caribbean-puerto-rico-2dfa1b6f8c97afd535e890288bbea68e
",AP,Neutral
"About 82,000 still without power in Puerto Rico two weeks after Fiona",Reuters,10/6/22," Around 82,000 homes and businesses were still without power in Puerto Rico on Thursday, over two weeks after Hurricane Fiona caused an islandwide outage for its 3.3 million people. Fiona plowed into Puerto Rico on Sept. 18, about five years after Hurricane Maria also knocked out all power on the Caribbean island. After battering Puerto Rico and the Dominican Republic, Fiona turned north and slammed into eastern Canada on Sept. 24, leaving more than  a third  of Nova Scotia without power. Nova Scotia Power, a unit of Canadian energy company Emera Inc  (EMA.TO) , said that about 4,200 customers remained without power early Thursday. PowerOutage.us said that about 82,000 customers were without service in Puerto Rico Thursday afternoon, down 118,000 from early in the day, based on information from LUMA Energy, which operates the island's grid.   read more  That pace of restoration  though slow  was faster than after Maria when almost all 1.5 million customers had no power for a week. At that time the now bankrupt Puerto Rico Electric Power Authority (PREPA) was still operating the grid. It took PREPA about 11 months to restore power to all customers, but Maria was a much more powerful storm than Fiona. Maria hit Puerto Rico in 2017 as a Category 4 hurricane with winds of 155 miles (249 kms) per hour (mph), while Fiona hit as a Category 1 storm with winds of 85 mph. LUMA Energy said it restored service to 1.407 million, or about 96% of all customers by early Thursday and expects to return power to 90% of customers in the hardest hit areas by the end of the day, so long as sufficient generation is available. LUMA is a joint venture owned by units of Canadian energy firm ATCO Ltd (50%) and U.S. energy contractor Quanta Services Inc  (PWR.N)  (50%). Puerto Rico is restoring power to homes more quickly in the wake of Hurricane Fiona than after Hurricane Maria five years ago, when it took months before the island fully recovered. Our Standards:  The Thomson Reuters Trust Principles.",https://www.reuters.com/world/americas/about-118000-still-without-power-puerto-rico-two-weeks-after-fiona-2022-10-06/,Reuters,Neutral
"About 101,000 still without power in Puerto Rico two weeks after Hurricane Fiona",Reuters,10/5/22," An estimated 101,000 homes and businesses were still without power in Puerto Rico on Wednesday, more than two weeks after Hurricane Fiona caused an islandwide outage for its 3.3 million people. Fiona hit Puerto Rico on Sept. 18, about five years after Hurricane Maria also knocked out all power on the island. After hitting Puerto Rico and the Dominican Republic, Fiona turned north and slammed into eastern Canada on Sept. 24, leaving more than  a third  of Nova Scotia without power. Nova Scotia Power, a unit of Canadian energy company Emera Inc  (EMA.TO) , said about 7,700 customers were still without power in the province early on Wednesday, down from about 13,800 early on Tuesday. PowerOutage.us said about 101,000 customers were without service in Puerto Rico on Wednesday, down from 109,000 on Tuesday, based on information from LUMA Energy, which operates its grid. That pace of restoration  though slow  was faster than after Maria when almost all 1.5 million customers had no power for a week. At that time the now bankrupt Puerto Rico Electric Power Authority (PREPA) was still operating the grid. It took PREPA about 11 months to restore power to all customers, but Maria was a much more powerful storm than Fiona. Maria hit Puerto Rico in 2017 as a Category 4 hurricane with winds of 155 miles (249 kms) per hour (mph), while Fiona hit as a Category 1 storm with winds of 85 mph. LUMA Energy said it restored service to 1.384 million, or about 94% of all customers by late Tuesday. LUMA is a joint venture owned by units of Canadian energy firm ATCO Ltd (50%) and U.S. energy contractor Quanta Services Inc  (PWR.N)  (50%). Puerto Rico is restoring power to homes more quickly in the wake of Hurricane Fiona than after Hurricane Maria five years ago, when it took months before the island fully recovered. Our Standards:  The Thomson Reuters Trust Principles.",https://www.reuters.com/business/environment/about-101000-still-without-power-puerto-rico-two-weeks-after-hurricane-fiona-2022-10-05/,Reuters,Neutral
"About 109,000 still without power in Puerto Rico two weeks after Fiona",Reuters,10/4/22," An estimated 109,000 homes and businesses were still without power in Puerto Rico on Tuesday, two weeks after Hurricane Fiona caused an islandwide outage for its 3.3 million people. Fiona hit Puerto Rico on Sept. 18, about five years after Hurricane Maria also knocked out all power on the island. After hitting Puerto Rico and the Dominican Republic, Fiona turned north and slammed into eastern Canada on Sept. 24, leaving more than  a third  of Nova Scotia without power. Nova Scotia Power, a unit of Canadian energy company Emera Inc  (EMA.TO) , said about 13,800 customers were still without power in the province early on Tuesday, down from about 24,500 early on Monday. PowerOutage.us said about 109,000 customers were without service in Puerto Rico on Tuesday, down from 120,000 on Monday, based on information from LUMA Energy, which operates its grid. That pace of restoration  though slow  was faster than after Maria when almost all 1.5 million customers had no power for a week. At that time the now bankrupt Puerto Rico Electric Power Authority (PREPA) was still operating the grid. It took PREPA about 11 months to restore power to all customers, but Maria was a much more powerful storm than Fiona. Maria hit Puerto Rico in 2017 as a Category 4 hurricane with winds of 155 miles (249 kms) per hour (mph), while Fiona hit as a Category 1 storm with winds of 85 mph. LUMA Energy said it restored service to 1.374 million, or about 94% of all customers by late Monday and expects to restore service to 90% of customers in the hardest hit areas by Oct. 6 so long as sufficient generation is available. LUMA is a joint venture owned by units of Canadian energy firm ATCO Ltd (50%) and U.S. energy contractor Quanta Services Inc  (PWR.N)  (50%). Puerto Rico is restoring power to homes more quickly in the wake of Hurricane Fiona than after Hurricane Maria five years ago, when it took months before the island fully recovered. Our Standards:  The Thomson Reuters Trust Principles.",https://www.reuters.com/business/environment/about-109000-still-without-power-puerto-rico-two-weeks-after-fiona-2022-10-04/,Reuters,Neutral
"About 120,000 still without power in Puerto Rico days after Fiona",Reuters,10/3/22," An estimated 120,000 homes and businesses were still without power in Puerto Rico on Monday, two weeks after Hurricane Fiona caused an islandwide outage for its 3.3 million people. Fiona hit Puerto Rico on Sept. 18, about five years after Hurricane Maria also knocked out all power on the island. After hitting Puerto Rico and the Dominican Republic, Fiona turned north and slammed into eastern Canada on Sept. 24, leaving more than a third of Nova Scotia without power.   read more  Nova Scotia Power, a unit of Canadian energy company Emera Inc  (EMA.TO) , said about 24,500 customers were still without power in the province early Monday, down from about 59,900 early Friday. PowerOutage.us said about 120,000 customers were without service in Puerto Rico on Monday, down from around 233,000 on Friday, based on information from LUMA Energy, which operates its grid. That pace of restoration  though slow  was much faster than after Maria when almost all 1.5 million customers had no power for a week. At that time the now bankrupt Puerto Rico Electric Power Authority (PREPA) was still operating the grid. It took PREPA about 11 months to restore power to all customers, but Maria was a much more powerful storm than Fiona. Maria hit Puerto Rico in 2017 as a Category 4 hurricane with winds of 155 miles (249 kilometers) per hour (mph), while Fiona hit as a Category 1 storm with winds of 85 mph. LUMA Energy said it restored service to 1.350 million, or about 92% of all customers by late Sunday and expects to restore service to 90% of customers in the hardest hit areas by Oct. 6 so long as sufficient generation is available. LUMA is a joint venture owned by units of Canadian energy firm ATCO Ltd (50%) and U.S. energy contractor Quanta Services Inc  (PWR.N)  (50%). Puerto Rico is restoring power to homes more quickly in the wake of Hurricane Fiona than after Hurricane Maria five years ago, when it took months before the island fully recovered. Our Standards:  The Thomson Reuters Trust Principles.",https://www.reuters.com/business/environment/about-120000-still-without-power-puerto-rico-days-after-fiona-2022-10-03/,Reuters,Neutral
Biden to storm-hit Puerto Rico: 'All of America's with you',Jeff Mason,10/3/22," President Joe Biden on Monday pledged more than $60 million in aid to help U.S. territory Puerto Rico and said more money was coming, as he sought to present a more compassionate image than his predecessor, Donald Trump, while surveying damage from Hurricane Fiona. Soon after arriving with his wife, Jill Biden, the president met with victims of the hurricane, which left Puerto Rico without power for an extended period. Biden will travel to Florida on Wednesday to see damage from Hurricane Ian. ""We came here in person to show that we're with you. All of America's with you as you receive and recover and rebuild,"" Biden said in Ponce, Puerto Rico. Biden alluded to the controversy surrounding Trump's response to Hurricane Maria when it ravaged Puerto Rico in 2017, killing thousands. Some residents of the island said Trump was slow to dispatch aid in the wake of that hurricane. Trump objected to sending more money to Puerto Rico after the hurricane and froze billions intended for the island, a move Biden has reversed. ""Yes, Puerto Rico is a strong place and Puerto Ricans are a strong people, but even so you have had to bear so much, more than need be, and you haven't gotten help in a timely way,"" Biden said. Biden said the $60 million would help rebuild coastal regions. He was joined by Federal Emergency Management Agency Administrator Deanne Criswell. The funding will help ""shore up levees and flood walls, and create a new flood warning system to help residents better prepare for future storms,"" Biden said in a Twitter post. As an unincorporated territory of the United States, Puerto Rico is neither a U.S. state nor a sovereign nation, and residents do not have voting rights unless they move to the mainland. Puerto Rico Governor Pedro Pierluisi, speaking before Biden, said: ""We want to be treated in the same way as our fellow Americans in the states in times of need. All American citizens, regardless of where they live ... should receive the same support from the federal government."" Biden listed recent investments in Puerto Rico's roads, bridges, mangrove restoration and coral reefs included in recent funding bills from the U.S. Congress, and said more money was coming. ""I'm ready to deploy and expedite more resources from the Department in Energy and other federal agencies,"" so that residents can get clean, reliable power, he said. The Biden administration is monitoring the impact of Hurricane Ian on the insurance industry, Criswell told reporters aboard Air Force One. She  said last week  that the damages from Ian would be catastrophic. ELECTRICTY RESTORED Stormravaged residents in Florida and the Carolinas alone  face a disaster recovery  expected to cost tens of billions of dollars. Hundreds of thousands of people have struggled without power since Fiona hit Puerto Rico some two weeks ago. U.S. Energy Secretary Jennifer Granholm on Sunday said that power had been restored to 90% of customers on the island. ""This is an important milestone, coming just 13 days after Fiona made landfall,"" she said. ""While we're grateful for this progress, we realize the work is not over. Efforts to rebuild and help those impacted will continue."" Last week the Biden administration  approved  a waiver of U.S. shipping rules to address Puerto Rico's immediate energy needs. Our Standards:  The Thomson Reuters Trust Principles.",https://www.reuters.com/world/americas/bidens-head-puerto-rico-show-support-after-hurricane-2022-10-03/,Reuters,Neutral
"About 233,000 still without power in Puerto Rico days after Fiona",Reuters,9/30/22," An estimated 233,000 homes and businesses were still without power in Puerto Rico on Friday almost two weeks after Hurricane Fiona caused an islandwide outage for its 3.3 million people. After hitting Puerto Rico and the Dominican Republic, Fiona turned north and slammed into eastern Canada on Sept. 24, leaving more than a third of Nova Scotia without power.   read more  Nova Scotia Power, a unit of Canadian energy company Emera Inc , said about 59,900 customers were without power in the province early Friday, down from about 78,200 early Thursday. Fiona hit Puerto Rico on Sept. 18 about five years after Hurricane Maria knocked out all power on the island. PowerOutage.us said about 233,000 customers were without service in Puerto Rico on Friday, down from around 239,000 early Thursday, based on information from LUMA Energy, which operates its grid. That pace of restoration was much faster than after Maria  when almost all 1.5 million customers had no power for a week. At that time the now bankrupt Puerto Rico Electric Power Authority (PREPA) was still operating the grid. It took PREPA about 11 months to restore power to all customers, but Maria was a much more powerful storm than Fiona. Maria hit Puerto Rico in 2017 as a Category 4 hurricane with winds of 155 miles (249 kilometers) per hour (mph), while Fiona hit as a Category 1 storm with winds of 85 mph. LUMA Energy said it restored service to 1.212 million, or about 83% of all customers by early Friday and expects to restore service to 90% of customers in all of its service regions by Oct. 6 so long as sufficient generation is available. LUMA is a joint venture owned by units of Canadian energy firm ATCO Ltd (50%) and U.S. energy contractor Quanta Services Inc  (PWR.N)  (50%). Puerto Rico is restoring power to homes more quickly in the wake of Hurricane Fiona than after Hurricane Maria five years ago, when it took months before the island fully recovered. Our Standards:  The Thomson Reuters Trust Principles.",https://www.reuters.com/business/environment/about-233000-still-without-power-puerto-rico-days-after-fiona-2022-09-30/,Reuters,Neutral
Officials detail Hurricane Fiona damage to Puerto Rico grid,DÁNICA COTO,9/29/22,"Preliminary evaluations show Hurricane Fiona damaged 50% of transmission lines and distribution feeders across Puerto Rico as hundreds of thousands remain without power or water service almost two weeks after the storm hit, officials said Thursday. The announcement came as a major power plant in Puerto Rico was knocked offline and began to spew heavy black smoke in the latest setback to efforts to stabilize the U.S. territory’s power grid. Gov. Pedro Pierluisi said crews were working swiftly to restore essential services, but stressed that he was not satisfied that more than 270,000 clients out of 1.47 million were without power and more than 100,000 clients out of 1.2 million without water service. The situation has angered and exasperated many who already were affected by power outages blamed on Hurricane Maria, a Category 4 storm that razed the island’s power grid in September 2017. Hurricane Fiona slammed into Puerto Rico’s southwest region as a Category 1 storm Sept. 18. “We are living in a state of eternal fragility,” said Puerto Rico Rep. Mariana Nogales. Luma, a private company that operates transmission and distribution of power in Puerto Rico, has promised that electricity would be restored to 90% of clients by Friday in areas not severely affected by the storm. In hard-hit areas, officials have said they might restore power to 90% of clients by next Thursday. “I’m demanding more,” Pierluisi said. Officials have not said when the entire island might be energized. The lack of power has led to dwindling diesel supplies and prompted U.S. Homeland Security Secretary Alejandro Mayorkas to announce Wednesday night that he would temporarily waive a federal law to allow for a British Petroleum ship to dock in Puerto Rico and unload 300,000 barrels of diesel. The outage has forced businesses including grocery stores and gas stations to temporarily close and prevented hundreds of schools from opening. In addition, 16 government medical clinics and seven dialysis centers are still operating on generators. In a policy brief released Thursday, the Puerto Rico-based think tank Center for a New Economy said Puerto Rico already was extremely vulnerable prior to Fiona because only 30% of permanent reconstruction work related to 2017′s Hurricane Maria had started. “Basically, nothing had been done to strengthen the electric grid and other critical infrastructures or increase their resiliency,” the center said. “The damage caused by Hurricane Fiona will certainly add another layer of complexity on top of what was already a difficult and complicated effort.”","https://apnews.com/article/hurricanes-caribbean-storms-power-outages-puerto-rico-5d54ac54f0cc1b69c3c2294a4638d9db
",AP,Neutral
"About 239,000 still without power in Puerto Rico days after Fiona",Reuters,9/29/22," An estimated 239,000 homes and businesses were still without power in Puerto Rico on Thursday almost two weeks after Hurricane Fiona hit the island, data showed. After causing devastation in Puerto Rico and the Dominican Republic, Fiona turned north and slammed into eastern Canada on Sept. 24, leaving more than a third of Nova Scotia without power.   read more  Nova Scotia Power, a unit of Canadian energy company Emera Inc , said about 78,200 customers were still without power there early on Thursday. Fiona hit Puerto Rico on Sept. 18, knocking out power across the island that is home to about 3.3 million people PowerOutage.us, which estimates outages based on utility data, said 239,000 customers were without service on Thursday based on information from LUMA Energy, which operates Puerto Rico's grid. Those numbers were down from 349,000 customers recorded without power a day earlier, suggesting a much faster pace of restoration than when the much bigger Hurricane Maria struck about five years ago.   read more  LUMA Energy said it restored service to 1.178 million customers by early Thursday and expects to have 77%91% of customers restored by Friday if there is sufficient generation available. LUMA is a joint venture owned by units of Canadian energy firm ATCO Ltd (50%) and U.S. energy contractor Quanta Services Inc  (PWR.N)  (50%). Puerto Rico is restoring power to homes more quickly in the wake of Hurricane Fiona than after Hurricane Maria five years ago, when it took months before the island fully recovered. Our Standards:  The Thomson Reuters Trust Principles.",https://www.reuters.com/world/us/about-239000-still-without-power-puerto-rico-days-after-fiona-2022-09-29/,Reuters,Neutral
US waives federal law to boost diesel supply for Puerto Rico,DÁNICA COTO,9/28/22,"The U.S. government announced Wednesday it would temporarily waive a federal law and allow foreign diesel deliveries to Puerto Rico as it faces a dwindling supply of fuel nearly two weeks after Hurricane Fiona pummeled the U.S. territory. The announcement comes a day after Puerto Rico Gov. Pedro Pierluisi, the archbishop of San Juan and others requested that U.S. President Joe Biden temporarily suspend the Merchant Marine Act of 1920, best known as the Jones act, which requires that all goods transported to the island be aboard a ship built in the U.S., owned and crewed by U.S. citizens and flying the U.S. flag. Homeland Security Security Alejandro Mayorkas said he temporarily waived the law “in response to urgent and immediate needs of the Puerto Rican people” so they could have “sufficient diesel to run generators needed for electricity and the functioning critical facilities as they recover from Hurricane Fiona.” Pierluisi had warned diesel supplies on the island were running low in the aftermath of Hurricane Fiona and noted that a British Petroleum ship with 300,000 barrels of diesel has been floating off Puerto Rico’s southern coast since Sunday, awaiting entry. More than 311,000 customers out of 1.47 million remain without power more than 10 days after Fiona slammed into Puerto Rico’s southwest tip as a Category 1 storm, sparking an island-wide blackout. Several hospitals also remain connected to generators. “It is totally unacceptable,” said Manuel Calderón Cerame, spokesman for the main opposition Popular Democratic Party. Fuel disruptions have forced grocery stores, gas stations and other businesses to temporarily close as the demand for diesel to feed generators grows. Hundreds of schools also remain shuttered. On Wednesday evening, Luma, a private company that operates power transmission and distribution in Puerto Rico, announced it would take at least another week to restore electricity to 90% of customers in the island’s southern and western regions. “Hurricane Fiona severely impacted critical parts of the electric grid and generation facilities across Puerto Rico, especially in the Ponce and Mayagüez regions that suffered severe damage to roads and critical infrastructure,” the company said. Officials have not yet said when they expect the island to be fully energized. As of Wednesday night, power had been restored to 80% of 1.47 million clients, the majority in the capital of San Juan and nearby areas. Puerto Rico’s Electric Power Authority, which operates generation on the island and is working with Luma to restore electricity, also is struggling to restructure more than $8 billion in debt. Earlier Wednesday, a federal judge ordered a fresh round of mediation talks aimed at restructuring the company’s public debt. U.S. District Court Judge Laura Taylor Swain also allowed a federal control board that oversees the island’s finances to go to court to determine how much money bondholders should receive as they seek to recover their investments. The board warned earlier that any expenses linked to debt repayment would be passed along to the power company’s 1.47 million clients. The board also was ordered to file a debt-restructuring plan for the island’s Electric Power Authority by Dec. 1, with a confirmation hearing scheduled for mid-2023. The board praised the ruling in a brief statement, saying it is calculated to get major disputed legal issues resolved in the shortest possible time: “Simultaneous litigation and mediation facilitates resolutions for all constituencies.” In early March, Pierluisi had announced that his administration was scrapping a proposed debt restructuring deal because it was not favorable to the island’s economy or the power company’s clients. Then on Sept. 16, officials announced that mediation talks had failed. In response, a bondholder group that holds or insures 65% of the power company’s debt sought to have the bankruptcy case dismissed and a receiver appointed.  On Wednesday, the judge denied their request. A spokesman for the bondholder group did not return a message for comment. The power company holds the largest debt of any of Puerto Rico’s government agencies, and it is one of two agencies whose debt has not yet been restructured more than five years after the U.S. territory filed for the largest municipal bankruptcy in history. Puerto Rico’s Highways and Transportation Authority still holds $5.8 billion in debt.","https://apnews.com/article/hurricanes-caribbean-puerto-rico-hurricane-fiona-93c537d7b51040ab2a277deb4359031d
",AP,Neutral
